Route Number,Total Trains in Route,Segment Number,Train Number,Train Name,From Station,Departure Time,To Station,Arrival Time,Segment Distance (km),Segment Duration (hrs),Seat Availability,Waiting Time Before Segment (hrs),Total Route Distance (km),Total Route Duration,Estimated Cost (₹)
51,3,3,13239,PNBE-KOTA EX,ARA,12:32:00,KOTA,12:55:00,1149.0,19.15,1,17.7,4035.0,94h 28m,4035.0
52,3,1,16359,ERS PATNA EX,PGT,02:05:00,PNBE,09:50:00,2837.0,48.91,0,0.0,4082.0,93h 30m,4082.0
52,3,2,63225,PNBE-MGS MEM,PNBE,12:05:00,MGS,19:15:00,207.0,4.6,1,2.25,4082.0,93h 30m,4082.0
52,3,3,13237,PNBE- KOTA,MGS,15:42:00,KOTA,12:55:00,1038.0,17.3,1,20.45,4082.0,93h 30m,4082.0
53,3,1,16359,ERS PATNA EX,PGT,02:05:00,PNBE,09:50:00,2837.0,48.91,0,0.0,4035.0,94h 13m,4035.0
53,3,2,63225,PNBE-MGS MEM,PNBE,12:05:00,MGS,19:15:00,207.0,4.6,1,2.25,4035.0,94h 13m,4035.0
53,3,3,13239,PNBE-KOTA EX,MGS,15:42:00,KOTA,12:55:00,991.0,18.02,1,20.45,4035.0,94h 13m,4035.0
54,3,1,16359,ERS PATNA EX,PGT,02:05:00,PNBE,09:50:00,2837.0,48.91,0,0.0,4083.0,92h 59m,4083.0
54,3,2,63261,FUT - BXR ME,PNBE,18:30:00,BXR,23:50:00,118.0,3.11,1,8.67,4083.0,92h 59m,4083.0
54,3,3,13237,PNBE- KOTA,BXR,13:20:00,KOTA,12:55:00,1128.0,18.8,1,13.5,4083.0,92h 59m,4083.0
55,3,1,16359,ERS PATNA EX,PGT,02:05:00,PNBE,09:50:00,2837.0,48.91,0,0.0,4036.0,92h 12m,4036.0
55,3,2,63261,FUT - BXR ME,PNBE,18:30:00,BXR,23:50:00,118.0,3.11,1,8.67,4036.0,92h 12m,4036.0
55,3,3,13239,PNBE-KOTA EX,BXR,13:20:00,KOTA,12:55:00,1081.0,18.02,1,13.5,4036.0,92h 12m,4036.0
56,3,1,16860,MAQ MS EXP,PGT,13:45:00,MS,04:15:00,632.0,11.49,1,0.0,3715.0,86h 0m,3715.0
56,3,2,16793,SHRADDHA SET,MS,13:00:00,FD,08:30:00,2259.0,38.95,0,8.75,3715.0,86h 0m,3715.0
56,3,3,13237,PNBE- KOTA,FD,20:20:00,KOTA,12:55:00,824.0,14.98,1,11.83,3715.0,86h 0m,3715.0
57,3,1,22476,CBE BKN AC S,PGT,16:20:00,BKN,12:25:00,2428.0,41.86,0,0.0,3412.0,64h 19m,3412.0
57,3,2,59706,JP-SOG PASSA,BKN,14:30:00,SOG,18:10:00,181.0,4.02,1,2.08,3412.0,64h 19m,3412.0
57,3,3,22982,KOTA-HMH -KO,SOG,19:55:00,KOTA,09:50:00,803.0,14.6,1,1.75,3412.0,64h 19m,3412.0
58,3,1,22646,AHILYANAGARI,PGT,14:05:00,INDB,05:15:00,2292.0,39.52,0,0.0,3434.0,84h 21m,3434.0
58,3,2,21125,INDORE BHIND,INDB,20:05:00,BIX,09:50:00,643.0,11.69,0,14.83,3434.0,84h 21m,3434.0
58,3,3,59822,BHIND-KOTA P,BIX,18:10:00,KOTA,09:45:00,499.0,9.98,0,8.33,3434.0,84h 21m,3434.0
59,3,1,22646,AHILYANAGARI,PGT,14:05:00,INDB,05:15:00,2292.0,39.52,0,0.0,2646.0,52h 40m,2646.0
59,3,2,59388,INDB - NAD P,INDB,08:05:00,NAD,12:45:00,133.0,3.5,1,2.83,2646.0,52h 40m,2646.0
59,3,3,59803,RTM-KOTA PAS,NAD,14:40:00,KOTA,19:45:00,221.0,4.91,1,1.92,2646.0,52h 40m,2646.0
60,3,1,22646,AHILYANAGARI,PGT,14:05:00,INDB,05:15:00,2292.0,39.52,0,0.0,2646.0,54h 15m,2646.0
60,3,2,59388,INDB - NAD P,INDB,08:05:00,NAD,12:45:00,133.0,3.5,1,2.83,2646.0,54h 15m,2646.0
60,3,3,59831,BRC-KOTA PAR,NAD,16:15:00,KOTA,22:30:00,221.0,4.91,1,3.5,2646.0,54h 15m,2646.0
61,3,1,22646,AHILYANAGARI,PGT,14:05:00,INDB,05:15:00,2292.0,39.52,0,0.0,2675.0,53h 45m,2675.0
61,3,2,79305,DADN RTM DEM,INDB,08:45:00,RTM,11:35:00,118.0,3.11,1,3.5,2675.0,53h 45m,2675.0
61,3,3,59803,RTM-KOTA PAS,RTM,13:20:00,KOTA,19:45:00,265.0,5.89,1,1.75,2675.0,53h 45m,2675.0
62,3,1,22646,AHILYANAGARI,PGT,14:05:00,INDB,05:15:00,2292.0,39.52,0,0.0,2676.0,55h 17m,2676.0
62,3,2,79305,DADN RTM DEM,INDB,08:45:00,RTM,11:35:00,118.0,3.11,1,3.5,2676.0,55h 17m,2676.0
62,3,3,59831,BRC-KOTA PAR,RTM,14:50:00,KOTA,22:30:00,266.0,5.91,1,3.25,2676.0,55h 17m,2676.0
63,2,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3100.0,55h 12m,3100.0
63,2,2,19804,SVDK-KOTA WE,NDLS,14:15:00,KOTA,23:50:00,457.0,9.14,0,0.5,3100.0,55h 12m,3100.0
64,2,1,12625,KERALA EXPRE,PGT,18:45:00,NDLS,13:45:00,2643.0,45.57,1,0.0,3100.0,68h 37m,3100.0
64,2,2,19806,UHP-KOTA WEE,NDLS,03:40:00,KOTA,11:10:00,457.0,9.14,1,13.92,3100.0,68h 37m,3100.0
65,2,1,12643,NIZAMUDDIN E,PGT,21:30:00,NZM,17:10:00,2635.0,45.43,1,0.0,3085.0,74h 30m,3085.0
65,2,2,12060,KOTA JANSHTB,NZM,13:15:00,KOTA,20:00:00,450.0,9.0,1,20.08,3085.0,74h 30m,3085.0
66,2,1,12643,NIZAMUDDIN E,PGT,21:30:00,NZM,17:10:00,2635.0,45.43,1,0.0,3085.0,65h 10m,3085.0
66,2,2,19806,UHP-KOTA WEE,NZM,03:55:00,KOTA,11:10:00,450.0,9.0,1,10.75,3085.0,65h 10m,3085.0
67,2,1,16317,CAPE-SVDK HI,PGT,23:50:00,SVDK,15:20:00,3315.0,57.16,1,0.0,4442.0,82h 31m,4442.0
67,2,2,19804,SVDK-KOTA WE,SVDK,21:55:00,KOTA,23:50:00,1127.0,18.78,0,6.58,4442.0,82h 31m,4442.0
